title,date
(W쇼핑 협력) 2022년 T-커머스 판로지원 사업 참여기업 모집,2022-11-14~2022-11-23
(W쇼핑 협력) 2022년 T-커머스 판로지원 사업 참여기업 모집,2022-11-14~2022-11-23
제6회 DMC XR 미디어 포럼 개최,2022-11-07~2022-11-23
2022년 VR/AR 산업융합 지원 성과공유회,2022-11-24~2022-11-24
대한민국디자인전람회 수상작 피칭 프로그램 바이어 모집 안내,2022-11-25~2022-11-25
S-Live 스튜디오 기반 기획 라이브커머스 지원사업 참여기업 2차 모집,2022-11-09~2022-11-25
2022 단편 애니메이션 제작지원사업 모집공고,2022-11-15~2022-11-28
2022 단편 애니메이션 제작지원사업 모집공고,2022-11-15~2022-11-28
"숭실대학교 AI테크노융합학과 석,박사과정 기업설명회",2022-11-30~2022-11-30
2024년 SETEC 신규전시회 모집,2022-11-03~2022-11-30
22년 공익적 지역홍보 광고지원 사업,2022-10-06~2022-11-30
"청년채용특별장려금 (21년 청년을 채용한 기업을 대상, 신청기한 확인 필요)",2022-01-01~2022-11-30
