title,date
시도기업지원,2023. 01. 02 ~ 2024. 01. 18
공공연연구인력파견지원(참여기업접수용),2022. 11. 01 ~ 2022. 11. 30
투자형R&D(스케일업 팁스),2022. 11. 11 ~ 2022. 11. 25
수출지원프로그램,2022. 10. 27 ~ 2022. 11. 16
창업성장기술개발사업(TIPS),2022. 10. 13 ~ 2022. 10. 17
투자형R&D(스케일업 팁스),2022. 11. 03 ~ 2022. 11. 17
투자형R&D(스케일업 팁스),2022. 10. 27 ~ 2022. 11. 10
기술혁신센터 R&D멘토링,2022. 10. 06 ~ 2022. 10. 19
구매조건부신제품개발사업(공동투자형),2022. 10. 04 ~ 2022. 11. 11
공공연연구인력파견지원(참여기업접수용),2022. 10. 01 ~ 2022. 10. 31
투자형R&D(스케일업 팁스),2022. 09. 28 ~ 2022. 10. 13
공공연연구인력파견지원(참여기업접수용),2022. 09. 01 ~ 2022. 09. 30
창업성장기술개발사업(TIPS),2022. 08. 24 ~ 2022. 08. 29
우수연구개발 혁신제품 지정제도,2022. 08. 25 ~ 2022. 09. 07
투자형R&D(스케일업 팁스),2022. 08. 18 ~ 2022. 08. 31
